day_hour,no_of_clients,count_Row,get,post,head
2019-01-16 3,28,28,25,3,0
2019-01-18 8,12,12,9,3,0
2019-01-20 6,6,6,3,3,0
2019-01-24 4,12,12,9,3,0
2019-01-21 5,14,14,11,3,0
2019-01-28 7,8,8,5,3,0
2019-01-22 7,2386,2386,2004,382,0
2019-01-11 4,8,8,5,3,0
2019-01-15 5,10,10,7,3,0
2019-01-26 1,10,10,7,3,0
2019-01-11 2,8,8,5,3,0
2019-01-30 3,28,28,26,2,0
2019-01-19 5,8,8,5,3,0
2019-01-22 11,2348,2348,1962,386,0
2019-01-21 10,9,9,6,3,0
2019-01-24 6,11,11,8,3,0
2019-01-26 9,12,12,9,3,0
2019-01-17 10,15,15,12,3,0
2019-01-23 4,12,12,9,3,0
2019-01-23 9,10,10,7,3,0
2019-01-30 8,11,11,8,3,0
2019-01-24 11,13,13,10,3,0
